service_date,day_type,bus,rail_boardings,total_rides,year,month,day_of_week,period,day_of_year,lag_1,lag_7,lag_30,rolling_7,rolling_30
2006-07-23,U,446438,284632,731070,2006,7,6,Before 2020,204,408434.0,308173.0,639365.0,575313.4285714285,559886.3666666667
2006-07-24,W,906725,633184,1539909,2006,7,0,Before 2020,205,284632.0,626986.0,371810.0,571950.4285714285,548061.9333333333
2006-07-25,W,919219,650364,1569583,2006,7,1,Before 2020,206,633184.0,675064.0,302719.0,572835.8571428572,556774.4
2006-07-26,W,897731,641296,1539027,2006,7,2,Before 2020,207,650364.0,687896.0,626802.0,569307.2857142857,568362.5666666667
2006-07-27,W,894993,663387,1558380,2006,7,3,Before 2020,208,641296.0,644150.0,642922.0,562650.1428571428,568845.7
2006-07-28,W,900144,673789,1573933,2006,7,4,Before 2020,209,663387.0,676491.0,649479.0,565398.2857142857,569527.8666666667
2006-07-29,A,593188,423092,1016280,2006,7,5,Before 2020,210,673789.0,408434.0,667597.0,565012.2857142857,570338.2
2006-07-30,U,416361,290935,707296,2006,7,6,Before 2020,211,423092.0,284632.0,716112.0,567106.2857142857,562188.0333333333
2006-07-31,W,831261,608739,1440000,2006,7,0,Before 2020,212,290935.0,633184.0,429319.0,568006.7142857143,548015.4666666667
2006-08-01,W,894297,619717,1514014,2006,8,1,Before 2020,213,608739.0,650364.0,343944.0,564514.5714285715,553996.1333333333
2006-08-02,W,872246,628299,1500545,2006,8,2,Before 2020,214,619717.0,641296.0,684040.0,560136.4285714285,563188.5666666667
2006-08-03,W,911057,656020,1567077,2006,8,3,Before 2020,215,628299.0,663387.0,350242.0,558279.7142857143,561330.5333333333
2006-08-04,W,951984,722072,1674056,2006,8,4,Before 2020,216,656020.0,673789.0,661426.0,557227.2857142857,571523.1333333333
2006-08-05,A,645372,472159,1117531,2006,8,5,Before 2020,217,722072.0,423092.0,678340.0,564124.8571428572,573544.6666666666
2006-08-06,U,451477,357797,809274,2006,8,6,Before 2020,218,472159.0,290935.0,702727.0,571134.4285714285,566671.9666666667
2006-08-07,W,905263,633078,1538341,2006,8,0,Before 2020,219,357797.0,608739.0,423300.0,580686.1428571428,555174.3
2006-08-08,W,916905,646778,1563683,2006,8,1,Before 2020,220,633078.0,619717.0,313512.0,584163.1428571428,562166.9
2006-08-09,W,909623,641076,1550699,2006,8,2,Before 2020,221,646778.0,628299.0,618702.0,588029.0,573275.7666666667
2006-08-10,W,856682,614321,1471003,2006,8,3,Before 2020,222,641076.0,656020.0,605343.0,589854.2857142857,574021.5666666667
2006-08-11,W,909305,638056,1547361,2006,8,4,Before 2020,223,614321.0,722072.0,615196.0,583897.2857142857,574320.8333333334
2006-08-12,A,652458,391862,1044320,2006,8,5,Before 2020,224,638056.0,472159.0,644488.0,571895.0,575082.8333333334
2006-08-13,U,433792,268208,702000,2006,8,6,Before 2020,225,391862.0,357797.0,669868.0,560424.0,566661.9666666667
2006-08-14,W,857738,595551,1453289,2006,8,0,Before 2020,226,268208.0,633078.0,412144.0,547625.5714285715,553273.3
2006-08-15,W,888214,618372,1506586,2006,8,1,Before 2020,227,595551.0,646778.0,308173.0,542264.5714285715,559386.8666666667
2006-08-16,W,878842,620892,1499734,2006,8,2,Before 2020,228,618372.0,641076.0,626986.0,538206.5714285715,569726.8333333334
2006-08-17,W,874196,628756,1502952,2006,8,3,Before 2020,229,620892.0,614321.0,675064.0,535323.1428571428,569523.7
2006-08-18,W,869355,638938,1508293,2006,8,4,Before 2020,230,628756.0,638056.0,687896.0,537385.2857142857,567980.1
2006-08-19,A,612065,384987,997052,2006,8,5,Before 2020,231,638938.0,391862.0,644150.0,537511.2857142857,566348.1666666666
2006-08-20,U,481484,321400,802884,2006,8,6,Before 2020,232,384987.0,268208.0,676491.0,536529.1428571428,557709.4
2006-08-21,W,878842,613716,1492558,2006,8,0,Before 2020,233,321400.0,595551.0,408434.0,544128.0,545873.0333333333
2006-08-22,W,896666,628952,1525618,2006,8,1,Before 2020,234,613716.0,618372.0,284632.0,546723.0,552715.7666666667
2006-08-23,W,891561,632682,1524243,2006,8,2,Before 2020,235,628952.0,620892.0,633184.0,548234.4285714285,564193.1
2006-08-24,W,831663,617548,1449211,2006,8,3,Before 2020,236,632682.0,628756.0,650364.0,549918.7142857143,564176.3666666667
2006-08-25,W,895640,645738,1541378,2006,8,4,Before 2020,237,617548.0,638938.0,641296.0,548317.5714285715,563082.5
2006-08-26,A,592637,361355,953992,2006,8,5,Before 2020,238,645738.0,384987.0,663387.0,549289.0,563230.5666666667
2006-08-27,U,417115,276143,693258,2006,8,6,Before 2020,239,361355.0,321400.0,673789.0,545913.0,553162.8333333334
2006-08-28,W,792601,587722,1380323,2006,8,0,Before 2020,240,276143.0,613716.0,423092.0,539447.7142857143,539907.9666666667
2006-08-29,W,891705,638128,1529833,2006,8,1,Before 2020,241,587722.0,628952.0,290935.0,535734.2857142857,545395.6333333333
2006-08-30,W,913445,650359,1563804,2006,8,2,Before 2020,242,638128.0,632682.0,608739.0,537045.1428571428,556968.7333333333
2006-08-31,W,917102,654437,1571539,2006,8,3,Before 2020,243,650359.0,617548.0,619717.0,539570.4285714285,558356.0666666667
2006-09-01,W,977274,663472,1640746,2006,9,4,Before 2020,244,654437.0,645738.0,628299.0,544840.2857142857,559513.4
2006-09-02,A,668504,405986,1074490,2006,9,5,Before 2020,245,663472.0,361355.0,656020.0,547373.7142857143,560685.8333333334
2006-09-03,U,488706,320575,809281,2006,9,6,Before 2020,246,405986.0,276143.0,722072.0,553749.5714285715,552351.3666666667
2006-09-04,U,404856,256882,661738,2006,9,0,Before 2020,247,320575.0,587722.0,472159.0,560097.0,538968.1333333333
2006-09-05,W,1056228,680476,1736704,2006,9,1,Before 2020,248,256882.0,638128.0,357797.0,512834.14285714284,531792.2333333333
2006-09-06,W,1069326,706958,1776284,2006,9,2,Before 2020,249,680476.0,650359.0,633078.0,518883.85714285716,542548.2
2006-09-07,W,1043601,726551,1770152,2006,9,3,Before 2020,250,706958.0,654437.0,646778.0,526969.4285714285,545010.8666666667
2006-09-08,W,985806,708845,1694651,2006,9,4,Before 2020,251,726551.0,663472.0,641076.0,537271.4285714285,547669.9666666667
2006-09-09,A,609019,386190,995209,2006,9,5,Before 2020,252,708845.0,405986.0,614321.0,543753.2857142857,549928.9333333333
2006-09-10,U,379770,245048,624818,2006,9,6,Before 2020,253,386190.0,320575.0,638056.0,540925.2857142857,542324.5666666667
2006-09-11,W,981275,656692,1637967,2006,9,0,Before 2020,254,245048.0,256882.0,391862.0,530135.7142857143,529224.3
2006-09-12,W,1030796,694780,1725576,2006,9,1,Before 2020,255,656692.0,680476.0,268208.0,587251.4285714285,538051.9666666667
2006-09-13,W,992146,694220,1686366,2006,9,2,Before 2020,256,694780.0,706958.0,595551.0,589294.8571428572,552271.0333333333
2006-09-14,W,1054398,719561,1773959,2006,9,3,Before 2020,257,694220.0,726551.0,618372.0,587475.1428571428,555560.0
2006-09-15,W,1060398,729995,1790393,2006,9,4,Before 2020,258,719561.0,708845.0,620892.0,586476.5714285715,558932.9666666667
2006-09-16,A,651694,421692,1073386,2006,9,5,Before 2020,259,729995.0,386190.0,628756.0,589498.0,562569.7333333333
2006-09-17,U,433989,294159,728148,2006,9,6,Before 2020,260,421692.0,245048.0,638938.0,594569.7142857143,555667.6
2006-09-18,W,1037929,688531,1726460,2006,9,0,Before 2020,261,294159.0,656692.0,384987.0,601585.5714285715,544174.9666666667
2006-09-19,W,1041255,690760,1732015,2006,9,1,Before 2020,262,688531.0,694780.0,321400.0,606134.0,554293.1
2006-09-20,W,1053131,700536,1753667,2006,9,2,Before 2020,263,690760.0,694220.0,613716.0,605559.7142857143,566605.1
2006-09-21,W,1044501,696162,1740663,2006,9,3,Before 2020,264,700536.0,719561.0,628952.0,606462.0,569499.1
2006-09-22,W,993335,668669,1662004,2006,9,4,Before 2020,265,696162.0,729995.0,632682.0,603119.2857142857,571739.4333333333
2006-09-23,A,584517,349931,934448,2006,9,5,Before 2020,266,668669.0,421692.0,617548.0,594358.4285714285,572939.0
2006-09-24,U,420423,259500,679923,2006,9,6,Before 2020,267,349931.0,294159.0,645738.0,584106.8571428572,564018.4333333333
2006-09-25,W,1041474,666046,1707520,2006,9,0,Before 2020,268,259500.0,688531.0,361355.0,579155.5714285715,551143.8333333334
2006-09-26,W,1054882,695484,1750366,2006,9,1,Before 2020,269,666046.0,690760.0,276143.0,575943.4285714285,561300.2
2006-09-27,W,1035426,690413,1725839,2006,9,2,Before 2020,270,695484.0,700536.0,587722.0,576618.2857142857,575278.2333333333
2006-09-28,W,1043356,676811,1720167,2006,9,3,Before 2020,271,690413.0,696162.0,638128.0,575172.1428571428,578701.2666666667
2006-09-29,W,1058057,699340,1757397,2006,9,4,Before 2020,272,676811.0,668669.0,650359.0,572407.7142857143,579990.7
2006-09-30,A,636906,394280,1031186,2006,9,5,Before 2020,273,699340.0,349931.0,654437.0,576789.2857142857,581623.4
2006-10-01,U,462755,296236,758991,2006,10,6,Before 2020,274,394280.0,259500.0,663472.0,583124.8571428572,572951.5
2006-10-02,W,981933,635901,1617834,2006,10,0,Before 2020,275,296236.0,666046.0,405986.0,588372.8571428572,560710.3
2006-10-03,W,1064774,681381,1746155,2006,10,1,Before 2020,276,635901.0,695484.0,320575.0,584066.4285714285,568374.1333333333
2006-10-04,W,1026517,675804,1702321,2006,10,2,Before 2020,277,681381.0,690413.0,256882.0,582051.7142857143,580401.0
2006-10-05,W,1060282,698851,1759133,2006,10,3,Before 2020,278,675804.0,676811.0,680476.0,579964.7142857143,594365.0666666667
2006-10-06,W,1055911,691122,1747033,2006,10,4,Before 2020,279,698851.0,699340.0,706958.0,583113.2857142857,594977.5666666667
2006-10-07,A,641240,373957,1015197,2006,10,5,Before 2020,280,691122.0,394280.0,726551.0,581939.2857142857,594449.7
2006-10-08,U,452460,283787,736247,2006,10,6,Before 2020,281,373957.0,296236.0,708845.0,579036.0,582696.5666666667
2006-10-09,W,806458,572361,1378819,2006,10,0,Before 2020,282,283787.0,635901.0,386190.0,577257.5714285715,568527.9666666667
2006-10-10,W,1055021,684475,1739496,2006,10,1,Before 2020,283,572361.0,681381.0,245048.0,568180.4285714285,574733.6666666666
2006-10-11,W,1022625,684138,1706763,2006,10,2,Before 2020,284,684475.0,675804.0,656692.0,568622.4285714285,589381.2333333333
2006-10-12,W,998899,676609,1675508,2006,10,3,Before 2020,285,684138.0,698851.0,694780.0,569813.0,590296.1
2006-10-13,W,1014747,680633,1695380,2006,10,4,Before 2020,286,676609.0,691122.0,694220.0,566635.5714285715,589690.4
2006-10-14,A,622249,386404,1008653,2006,10,5,Before 2020,287,680633.0,373957.0,719561.0,565137.1428571428,589237.5
2006-10-15,U,420083,260059,680142,2006,10,6,Before 2020,288,386404.0,283787.0,729995.0,566915.2857142857,578132.2666666667
2006-10-16,W,1011001,668480,1679481,2006,10,0,Before 2020,289,260059.0,572361.0,421692.0,563525.5714285715,562467.7333333333
2006-10-17,W,1029815,683799,1713614,2006,10,1,Before 2020,290,668480.0,684475.0,294159.0,577256.8571428572,570694.0
2006-10-18,W,1035671,687285,1722956,2006,10,2,Before 2020,291,683799.0,684138.0,688531.0,577160.2857142857,583682.0
2006-10-19,W,1035827,689629,1725456,2006,10,3,Before 2020,292,687285.0,676609.0,690760.0,577609.8571428572,583640.4666666667
2006-10-20,W,1031742,705991,1737733,2006,10,4,Before 2020,293,689629.0,680633.0,700536.0,579469.8571428572,583602.7666666667
2006-10-21,A,631254,403698,1034952,2006,10,5,Before 2020,294,705991.0,386404.0,696162.0,583092.4285714285,583784.6
2006-10-22,U,389726,375938,765664,2006,10,6,Before 2020,295,403698.0,260059.0,668669.0,585563.0,574035.8
2006-10-23,W,1018534,659505,1678039,2006,10,0,Before 2020,296,375938.0,668480.0,349931.0,602117.1428571428,564278.1
2006-10-24,W,1043962,675059,1719021,2006,10,1,Before 2020,297,659505.0,683799.0,259500.0,600835.0,574597.2333333333
2006-10-25,W,1057646,663754,1721400,2006,10,2,Before 2020,298,675059.0,687285.0,666046.0,599586.4285714285,588449.2
2006-10-26,W,994421,659139,1653560,2006,10,3,Before 2020,299,663754.0,689629.0,695484.0,596224.8571428572,588372.8
2006-10-27,W,1007282,663912,1671194,2006,10,4,Before 2020,300,659139.0,705991.0,690413.0,591869.1428571428,587161.3
2006-10-28,A,622775,364159,986934,2006,10,5,Before 2020,301,663912.0,403698.0,676811.0,585857.8571428572,586277.9333333333
2006-10-29,U,434824,265624,700448,2006,10,6,Before 2020,302,364159.0,375938.0,699340.0,580209.4285714285,575856.2
2006-10-30,W,1033777,660257,1694034,2006,10,0,Before 2020,303,265624.0,659505.0,394280.0,564450.2857142857,561399.0
2006-10-31,W,997495,663340,1660835,2006,10,1,Before 2020,304,660257.0,675059.0,296236.0,564557.7142857143,570264.9
2006-11-01,W,1053237,673789,1727026,2006,11,2,Before 2020,305,663340.0,663754.0,635901.0,562883.5714285715,582501.7
2006-11-02,W,1012046,671054,1683100,2006,11,3,Before 2020,306,673789.0,659139.0,681381.0,564317.1428571428,583764.6333333333
2006-11-03,W,959706,654291,1613997,2006,11,4,Before 2020,307,671054.0,663912.0,675804.0,566019.2857142857,583420.4
2006-11-04,A,609584,356326,965910,2006,11,5,Before 2020,308,654291.0,364159.0,698851.0,564644.8571428572,582703.3
2006-11-05,U,435747,266756,702503,2006,11,6,Before 2020,309,356326.0,265624.0,691122.0,563525.8571428572,571285.8
2006-11-06,W,1026257,653935,1680192,2006,11,0,Before 2020,310,266756.0,660257.0,373957.0,563687.5714285715,557140.2666666667
2006-11-07,W,1033037,651606,1684643,2006,11,1,Before 2020,311,653935.0,663340.0,283787.0,562784.4285714285,566472.8666666667
2006-11-08,W,1046870,674951,1721821,2006,11,2,Before 2020,312,651606.0,673789.0,572361.0,561108.1428571428,578733.5
2006-11-09,W,1001116,668263,1669379,2006,11,3,Before 2020,313,674951.0,671054.0,684475.0,561274.1428571428,582153.1666666666
2006-11-10,W,935843,610547,1546390,2006,11,4,Before 2020,314,668263.0,654291.0,684138.0,560875.4285714285,581612.7666666667
2006-11-11,A,591773,376391,968164,2006,11,5,Before 2020,315,610547.0,356326.0,676609.0,554626.2857142857,579159.7333333333
2006-11-12,U,417471,251876,669347,2006,11,6,Before 2020,316,376391.0,266756.0,680633.0,557492.7142857143,569152.4666666667
2006-11-13,W,1007564,643008,1650572,2006,11,0,Before 2020,317,251876.0,653935.0,386404.0,555367.0,554860.5666666667
2006-11-14,W,1047208,669094,1716302,2006,11,1,Before 2020,318,643008.0,651606.0,260059.0,553806.0,563414.0333333333
2006-11-15,W,1039976,661667,1701643,2006,11,2,Before 2020,319,669094.0,674951.0,668480.0,556304.2857142857,577048.5333333333
2006-11-16,W,998140,658701,1656841,2006,11,3,Before 2020,320,661667.0,668263.0,683799.0,554406.5714285715,576821.4333333333
2006-11-17,W,1018763,664438,1683201,2006,11,4,Before 2020,321,658701.0,610547.0,687285.0,553040.5714285715,575984.8333333334
2006-11-18,A,620464,403175,1023639,2006,11,5,Before 2020,322,664438.0,376391.0,689629.0,560739.2857142857,575223.2666666667
2006-11-19,U,417408,242830,660238,2006,11,6,Before 2020,323,403175.0,251876.0,705991.0,564565.5714285715,565674.8
2006-11-20,W,1022880,638117,1660997,2006,11,0,Before 2020,324,242830.0,643008.0,403698.0,563273.2857142857,550236.1
2006-11-21,W,1022970,651230,1674200,2006,11,1,Before 2020,325,638117.0,669094.0,375938.0,562574.5714285715,558050.0666666667
2006-11-22,W,980561,616974,1597535,2006,11,2,Before 2020,326,651230.0,661667.0,659505.0,560022.5714285715,567226.4666666667
2006-11-23,U,318233,182131,500364,2006,11,3,Before 2020,327,616974.0,658701.0,675059.0,553637.8571428572,565808.7666666667
2006-11-24,W,628700,393228,1021928,2006,11,4,Before 2020,328,182131.0,664438.0,663754.0,485556.4285714286,549377.8333333334
2006-11-25,A,549875,317650,867525,2006,11,5,Before 2020,329,393228.0,403175.0,659139.0,446812.14285714284,540360.3
2006-11-26,U,400592,234961,635553,2006,11,6,Before 2020,330,317650.0,242830.0,663912.0,434594.28571428574,528977.3333333334
2006-11-27,W,1012191,628799,1640990,2006,11,0,Before 2020,331,234961.0,638117.0,364159.0,433470.14285714284,514678.9666666667
2006-11-28,W,1030255,648239,1678494,2006,11,1,Before 2020,332,628799.0,651230.0,265624.0,432139.0,523500.3
2006-11-29,W,976231,634505,1610736,2006,11,2,Before 2020,333,648239.0,616974.0,660257.0,431711.71428571426,536254.1333333333
2006-11-30,W,985569,649626,1635195,2006,11,3,Before 2020,334,634505.0,182131.0,663340.0,434216.14285714284,535395.7333333333
2006-12-01,W,912314,629776,1542090,2006,12,4,Before 2020,335,649626.0,393228.0,673789.0,501001.14285714284,534938.6
2006-12-02,A,595637,338009,933646,2006,12,5,Before 2020,336,629776.0,317650.0,671054.0,534793.7142857143,533471.5
2006-12-03,U,375419,224761,600180,2006,12,6,Before 2020,337,338009.0,234961.0,654291.0,537702.1428571428,522370.0
2006-12-04,W,962864,605349,1568213,2006,12,0,Before 2020,338,224761.0,628799.0,356326.0,536245.0,508052.3333333333
2006-12-05,W,992857,620241,1613098,2006,12,1,Before 2020,339,605349.0,648239.0,266756.0,532895.0,516353.1
2006-12-06,W,1015490,629687,1645177,2006,12,2,Before 2020,340,620241.0,634505.0,653935.0,528895.2857142857,528135.9333333333
2006-12-07,W,921792,603900,1525692,2006,12,3,Before 2020,341,629687.0,649626.0,651606.0,528207.0,527327.6666666666
2006-12-08,W,952445,626294,1578739,2006,12,4,Before 2020,342,603900.0,629776.0,674951.0,521674.71428571426,525737.4666666667
2006-12-09,A,590225,344215,934440,2006,12,5,Before 2020,343,626294.0,338009.0,668263.0,521177.28571428574,524115.56666666665
2006-12-10,U,406068,237226,643294,2006,12,6,Before 2020,344,344215.0,224761.0,610547.0,522063.85714285716,513313.9666666667
2006-12-11,W,995926,609360,1605286,2006,12,0,Before 2020,345,237226.0,605349.0,376391.0,523844.5714285714,500869.93333333335
2006-12-12,W,991473,612992,1604465,2006,12,1,Before 2020,346,609360.0,620241.0,251876.0,524417.5714285715,508635.56666666665
2006-12-13,W,1020619,640224,1660843,2006,12,2,Before 2020,347,612992.0,629687.0,643008.0,523382.0,520672.76666666666
2006-12-14,W,1007667,626704,1634371,2006,12,3,Before 2020,348,640224.0,603900.0,669094.0,524887.2857142857,520579.9666666667
2006-12-15,W,1002739,632077,1634816,2006,12,4,Before 2020,349,626704.0,626294.0,661667.0,528145.0,519166.9666666667
2006-12-16,A,632218,356756,988974,2006,12,5,Before 2020,350,632077.0,344215.0,658701.0,528971.1428571428,518180.63333333336
2006-12-17,U,432910,251802,684712,2006,12,6,Before 2020,351,356756.0,237226.0,664438.0,530762.7142857143,508115.8
2006-12-18,W,990534,591895,1582429,2006,12,0,Before 2020,352,251802.0,609360.0,403175.0,532845.0,494361.26666666666
2006-12-19,W,1019785,596338,1616123,2006,12,1,Before 2020,353,591895.0,612992.0,242830.0,530350.0,500651.93333333335
2006-12-20,W,975226,586048,1561274,2006,12,2,Before 2020,354,596338.0,640224.0,638117.0,527970.8571428572,512435.5333333333
2006-12-21,W,924778,564199,1488977,2006,12,3,Before 2020,355,586048.0,626704.0,651230.0,520231.4285714286,510699.9
2006-12-22,W,906201,529373,1435574,2006,12,4,Before 2020,356,564199.0,632077.0,616974.0,511302.14285714284,507798.86666666664
2006-12-23,A,578507,277455,855962,2006,12,5,Before 2020,357,529373.0,356756.0,182131.0,496630.14285714284,504878.8333333333
2006-12-24,U,391926,175847,567773,2006,12,6,Before 2020,358,277455.0,251802.0,393228.0,485301.4285714286,508056.3
2006-12-25,U,242369,112855,355224,2006,12,0,Before 2020,359,175847.0,591895.0,317650.0,474450.71428571426,500810.26666666666
2006-12-26,W,652808,377449,1030257,2006,12,1,Before 2020,360,112855.0,596338.0,234961.0,406016.4285714286,493983.76666666666
2006-12-27,W,732919,460703,1193622,2006,12,2,Before 2020,361,377449.0,586048.0,628799.0,374746.5714285714,498733.36666666664
2006-12-28,W,758151,487441,1245592,2006,12,3,Before 2020,362,460703.0,564199.0,648239.0,356840.14285714284,493130.1666666667
2006-12-29,W,816636,499735,1316371,2006,12,4,Before 2020,363,487441.0,529373.0,634505.0,345874.71428571426,487770.23333333334
2006-12-30,A,589298,310684,899982,2006,12,5,Before 2020,364,499735.0,277455.0,649626.0,341640.71428571426,483277.9
2006-12-31,U,412048,293362,705410,2006,12,6,Before 2020,365,310684.0,175847.0,629776.0,346387.71428571426,471979.8333333333
2007-01-01,U,326042,219953,545995,2007,1,0,Before 2020,1,293362.0,112855.0,338009.0,363175.5714285714,460766.0333333333
2007-01-02,W,772549,452097,1224646,2007,1,1,Before 2020,2,219953.0,377449.0,224761.0,378475.28571428574,456830.8333333333
2007-01-03,W,871683,561287,1432970,2007,1,2,Before 2020,3,452097.0,460703.0,605349.0,389139.28571428574,464408.7
2007-01-04,W,814984,548904,1363888,2007,1,3,Before 2020,4,561287.0,487441.0,620241.0,403508.4285714286,462939.9666666667
2007-01-05,W,862748,569322,1432070,2007,1,4,Before 2020,5,548904.0,499735.0,629687.0,412288.85714285716,460562.06666666665
2007-01-06,A,580851,305019,885870,2007,1,5,Before 2020,6,569322.0,310684.0,603900.0,422229.85714285716,458549.9
2007-01-07,U,384626,208188,592814,2007,1,6,Before 2020,7,305019.0,293362.0,626294.0,421420.5714285714,448587.2
2007-01-08,W,976783,594028,1570811,2007,1,0,Before 2020,8,208188.0,219953.0,344215.0,409252.85714285716,434650.3333333333
2007-01-09,W,978577,598746,1577323,2007,1,1,Before 2020,9,594028.0,452097.0,237226.0,462692.14285714284,442977.43333333335
2007-01-10,W,968643,599118,1567761,2007,1,2,Before 2020,10,598746.0,561287.0,609360.0,483642.0,455028.1
2007-01-11,W,967218,602194,1569412,2007,1,3,Before 2020,11,599118.0,548904.0,612992.0,489046.4285714286,454686.7
2007-01-12,W,973391,603456,1576847,2007,1,4,Before 2020,12,602194.0,569322.0,640224.0,496659.28571428574,454326.76666666666
2007-01-13,A,562827,308047,870874,2007,1,5,Before 2020,13,603456.0,305019.0,626704.0,501535.5714285714,453101.1666666667
2007-01-14,U,368736,217983,586719,2007,1,6,Before 2020,14,308047.0,208188.0,632077.0,501968.14285714284,442479.26666666666
2007-01-15,W,604564,389675,994239,2007,1,0,Before 2020,15,217983.0,594028.0,356756.0,503367.4285714286,428676.13333333336
2007-01-16,W,978082,620145,1598227,2007,1,1,Before 2020,16,389675.0,598746.0,251802.0,474174.14285714284,429773.43333333335
2007-01-17,W,977527,618895,1596422,2007,1,2,Before 2020,17,620145.0,599118.0,591895.0,477231.14285714284,442051.5333333333
2007-01-18,W,982237,620579,1602816,2007,1,3,Before 2020,18,618895.0,602194.0,596338.0,480056.4285714286,442951.5333333333
2007-01-19,W,978490,617473,1595963,2007,1,4,Before 2020,19,620579.0,603456.0,586048.0,482682.85714285716,443759.56666666665
2007-01-20,A,576490,316657,893147,2007,1,5,Before 2020,20,617473.0,308047.0,564199.0,484685.28571428574,444807.06666666665
2007-01-21,U,364130,214796,578926,2007,1,6,Before 2020,21,316657.0,217983.0,529373.0,485915.28571428574,436555.6666666667
2007-01-22,W,1002003,616824,1618827,2007,1,0,Before 2020,22,214796.0,389675.0,277455.0,485460.0,426069.76666666666
2007-01-23,W,1011645,629993,1641638,2007,1,1,Before 2020,23,616824.0,620145.0,175847.0,517909.85714285716,437382.06666666665
2007-01-24,W,1006911,629208,1636119,2007,1,2,Before 2020,24,629993.0,618895.0,112855.0,519316.71428571426,452520.26666666666
2007-01-25,W,988347,630002,1618349,2007,1,3,Before 2020,25,629208.0,620579.0,377449.0,520790.0,469732.0333333333
2007-01-26,W,901880,600561,1502441,2007,1,4,Before 2020,26,630002.0,617473.0,460703.0,522136.14285714284,478150.4666666667
2007-01-27,A,578477,314380,892857,2007,1,5,Before 2020,27,600561.0,316657.0,487441.0,519720.14285714284,482812.4
2007-01-28,U,345116,199255,544371,2007,1,6,Before 2020,28,314380.0,214796.0,499735.0,519394.85714285716,477043.7
2007-01-29,W,945286,594742,1540028,2007,1,0,Before 2020,29,199255.0,616824.0,310684.0,517174.71428571426,467027.7
2007-01-30,W,952201,604145,1556346,2007,1,1,Before 2020,30,594742.0,629993.0,293362.0,514020.14285714284,476496.3
2007-01-31,W,943384,598814,1542198,2007,1,2,Before 2020,31,604145.0,629208.0,219953.0,510327.5714285714,486855.73333333334
2007-02-01,W,1007882,616420,1624302,2007,2,3,Before 2020,32,598814.0,630002.0,452097.0,505985.5714285714,499484.43333333335
2007-02-02,W,958446,584607,1543053,2007,2,4,Before 2020,33,616420.0,600561.0,561287.0,504045.28571428574,504961.86666666664
2007-02-03,A,454188,247767,701955,2007,2,5,Before 2020,34,584607.0,314380.0,548904.0,501766.14285714284,505739.2
2007-02-04,U,266510,162712,429222,2007,2,6,Before 2020,35,247767.0,199255.0,569322.0,492250.0,495701.3
2007-02-05,W,761572,500675,1262247,2007,2,0,Before 2020,36,162712.0,594742.0,305019.0,487029.5714285714,482147.63333333336
2007-02-06,W,850354,564981,1415335,2007,2,1,Before 2020,37,500675.0,604145.0,208188.0,473591.4285714286,488669.5
2007-02-07,W,933093,593113,1526206,2007,2,2,Before 2020,38,564981.0,598814.0,594028.0,467996.5714285714,500562.6
2007-02-08,W,948308,591797,1540105,2007,2,3,Before 2020,39,593113.0,616420.0,598746.0,467182.14285714284,500532.1
2007-02-09,W,944364,582089,1526453,2007,2,4,Before 2020,40,591797.0,584607.0,599118.0,463664.5714285714,500300.4666666667
2007-02-10,A,546086,292046,838132,2007,2,5,Before 2020,41,582089.0,247767.0,602194.0,463304.85714285716,499732.8333333333
2007-02-11,U,369026,201895,570921,2007,2,6,Before 2020,42,292046.0,162712.0,603456.0,469630.4285714286,489394.56666666665
2007-02-12,W,793846,530211,1324057,2007,2,0,Before 2020,43,201895.0,500675.0,308047.0,475228.0,476009.2
2007-02-13,W,805441,607127,1412568,2007,2,1,Before 2020,44,530211.0,564981.0,217983.0,479447.4285714286,483414.6666666667
2007-02-14,W,884567,596676,1481243,2007,2,2,Before 2020,45,607127.0,593113.0,389675.0,485468.28571428574,496386.13333333336
2007-02-15,W,933588,604415,1538003,2007,2,3,Before 2020,46,596676.0,591797.0,620145.0,485977.28571428574,503286.1666666667
2007-02-16,W,928048,589591,1517639,2007,2,4,Before 2020,47,604415.0,582089.0,618895.0,487779.85714285716,502761.8333333333
2007-02-17,A,562470,306944,869414,2007,2,5,Before 2020,48,589591.0,292046.0,620579.0,488851.5714285714,501785.0333333333
2007-02-18,U,394698,226617,621315,2007,2,6,Before 2020,49,306944.0,201895.0,617473.0,490979.85714285716,491330.5333333333
2007-02-19,W,736322,466950,1203272,2007,2,0,Before 2020,50,226617.0,530211.0,316657.0,494511.5714285714,478302.0
2007-02-20,W,1030943,626057,1657000,2007,2,1,Before 2020,51,466950.0,607127.0,214796.0,485474.28571428574,483311.76666666666
2007-02-21,W,1036604,631249,1667853,2007,2,2,Before 2020,52,626057.0,596676.0,616824.0,488178.5714285714,497020.4666666667
2007-02-22,W,1018598,631479,1650077,2007,2,3,Before 2020,53,631249.0,604415.0,629993.0,493117.5714285714,497501.3
2007-02-23,W,999849,617663,1617512,2007,2,4,Before 2020,54,631479.0,589591.0,629208.0,496983.85714285716,497550.8333333333
2007-02-24,A,544391,302947,847338,2007,2,5,Before 2020,55,617663.0,306944.0,630002.0,500994.14285714284,497166.0
2007-02-25,U,331808,195652,527460,2007,2,6,Before 2020,56,302947.0,226617.0,600561.0,500423.14285714284,486264.1666666667
2007-02-26,W,953661,597444,1551105,2007,2,0,Before 2020,57,195652.0,466950.0,314380.0,495999.5714285714,472767.2
